Domande,Risposte
come si svolgeva l'addestramento di un ninja? ,"L’insieme delle abilità indispensabili a questi misteriosi guerrieri viene chiamato ninjutsu. Le tecniche di ninjutsu venivano insegnate agli allievi sin dai primi anni di addestramento nella loro infanzia, tramite prove di sopravvivenza e piccole missioni di spionaggio. Negli anni a seguire tutto questo veniva implementato con l’apprendimento di tecniche di combattimento ed allenamenti per la resistenza. Moltissime lezioni erano inoltre dedicate all’utilizzo di veleni e di esplosivi ed infine i futuri ninja dovevano imparare svariati mestieri comuni, in modo da poter ingannare i nemici ed infiltrarsi nelle loro residenze senza destare sospetti."
 quali erano le armi più utilizzate dai ninja? ,"katana, yumi, shuriken, kusarigama, tekagi, kusari katabira"
 chi erano i Jonin?,i ninja più esperti venivano chiamati jonin ed erano coloro che impartivano lezioni ed addestramenti ai chunin
chi è stato e cosa ha fatto il più famoso ninja della storia?,"
Tra i Ninja più famosi c’è da ricordare Sarutobi Sasuke. Da recenti studi è stato accertato che la figura di 
Sarutobi Sasuke è comparsa per la prima volta nella narrazione “Ensyoku Taiheirakki” scritta nella seconda 
metà del 18esimo secolo. Da quel momento, Sarutobi Sasuke è stato spesso menzionato nei racconti di guerra 
e nelle narrazioni storiche che descrivono l’Assedio di Osaka.
È stata la collana Tatsukawa, pubblicata ad Osaka nel periodo Taisho (negli anni 1910), a rendere famoso il 
nome di Sarutobi Sasuke.
Il protagonista viene scoperto da un grande maestro di Ninjutsu di scuola Koga, Tozawa Hakuunsai, e da 
costui imparerà i suoi Ninjutsu. Diventa vassallo di Sanada Yukimura e compie mirabolanti imprese utilizzando il Ninjutsu. Sino a questa pubblicazione normalmente i Ninja venivano descritti come entità oscure che 
adoperavano l’ambiguo Ninjutsu. Mentre Sarutobi Sasuke possiede un forte senso di 
fedeltà verso il padrone e dedica tutto se stesso al signore Sanada Yukimura. Soccorre la gente che ha bisogno 
di aiuto e punisce i malvagi, come i briganti che vivono in montagna. Sarutobi Sasuke è il primo Ninja che viene rappresentato come un 
grande eroe delle cause giuste, e da questo momento in poi, nella lettera tura narrativa, in teatro e nei film, i Ninja interpreteranno la parte dell’eroe delle cause giuste"
cos'è il ninjutsu? ,"Il Ninjutsu consiste in tecniche militari tradizionali quali spionaggio, ricognizione, sabotaggio, complotto strategico ecc. e 
originariamente poteva essere considerato come mezzo di autodifesa per la propria esistenza (tecniche complessive di sopravvivenza). Questi mezzi pratici servono ad evitare, nei limiti del possibile, scontri bellici ed a costituire quell’”armonia” stabile 
necessaria per la reciproca coesistenza pacifica."
qual è il rapporto tra corpo e mente di un ninja?,"Il fisico e la mente dei Ninja non sono separabili. Lo scopo principale dei Ninja è: continuare, giorno dopo 
giorno, gli esercizi fisico-mentali per non trascurare la preparazione militare difensiva e per evitare che avven gano scontri bellici grazie all’acquisizione di informazioni, così da trovarsi in armonia con tutte le creature. Si 
potrebbe dire che la vera attitudine dei Ninja mira a vivere avendo la giusta coscienza in base al fisico e alla 
mente sani onde sopportare pazientemente qualsiasi cosa e restare in armonia con la natura e la gente tramite 
lo spirito caritatevole"
quali sono le scuole tradizionali del ninjutsu?,Kumogakure-ryu; Gyokushin-ryu; Togakure-ryu; Shinden Fudo-ryu; Kuki Shinden; Gikan-ryu; Takagi Yoshin-ryu; Koto-ryu; Gyokko-ryu.
che ruolo svolgevano i ninja teppo-tai e i metsu-ke,"i teppo-tai svolgevano il ruolo di guardie del corpo, tuttavia venivano impiegati soltanto per la protezione dello shogun quando usciva dal suo palazzo mentre il ruolo dei metsu-ke era quello di un vero e proprio relatore. Doveva raccogliere tutte le informazioni, qualunque fosse il loro genere, per evitare che qualcosa passasse inosservato e potesse essere un indizio di una nuova rivolta o di una cospirazione. Proprio per questo motivo il suo compito era mantenere la pace;"
cos'è il bokken?,"l bokken è una spada di legno usata al posto della spada tradizionale.
Quando un principiante si addestra con la spada, impara le mosse di base con un bokken.
Tuttavia, può essere utilizzato anche come arma efficace, dal momento che è in legno forte e pesante.
In realtà, molti Ninja preferivano usare il bokken in missione, in quanto più leggero e più facile da trasportare rispetto ad una spada tradizionale, non vi era alcun rischio di tagliarsi ed era molto facile da camuffare perché poteva essere colorato o dipinto e utilizzano le tecniche adeguate, un bokken poteva facilmente rompere le ossa e gli organi interni."
come funziona il shuko?,"Un arma molto conosciuta tra quelle utilizzate dai Ninja era lo Shuko, o Tekagi, un ""pugno di ferro"" che potrebbe molto lontanamente ricordare il Tekko del Kobudo di Okinawa: si tratta di un guanto, da indossare che presenta sul palmo dei corti artigli in metallo ed ha le nocche prolungate da lunghe unghie appuntite, anch’esse di metallo; ideali prolungamenti delle dita, micidiali se usati in coppia, i primi Shuko vennero probabilmente forgiati prendendo ispirazione dagli artigli dei felini e degli uccelli rapaci."
